address,size,rent,personer,dagar,time,url
Maltgatan  8 / 1308,42,9 186,13,495,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4a4956794e3751587765694d346144773132372b746d51385271774c7656652f
Armégatan 32 B / 1204,20,6 139,9,152,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=5a79366637654a7774712b4d77713874385078436550624e55796f4369305375
Emmylundsvägen 3 / 1313,18,3 496,8,149,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=52672f485061656f586e4458336145544a65344a63623675447461476f505076
Emmylundsvägen 1 / 1407,18,3 496,6,144,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4d387043623031435249336c4552725876352b7630635637544a4f49616f4530
Emmylundsvägen 1 / 1510,18,3 496,8,149,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7536477667755a4143434c486865785a48326643516d787870746c4f39714833
Emmylundsvägen 3 / 1602,18,3 678,7,163,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=77656e486e3841707a7562664851524b3579303074534d704171473658393959
Emmylundsvägen 3 / 1712,17,3 496,12,149,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4f5966545177544e6c3766476f6b7a58337674654a615652475a5869656f432b
Emmylundsvägen 5 / 1114,22,4 475,18,1192,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=514377684b5254724b592b78724d69475a2f6b4f6f4b6c535362525478464c65
Kungshamra 31 / 1220,19,3 302,13,128,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=33626e47467a6a59343357426c6a4f5970464c454f4752704353314c4e504536
Kungshamra 71 / 1013,19,4 148,8,113,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=375574426856447573506e615245474270686349682f7a413371354649384c6e
Kungshamra 71 / 1204,19,4 148,8,113,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=5646616e7a64383434483832787a38756a4648744e4c4d6c313776677548554f
Kungshamra 71 / 1212,19,4 148,5,119,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=69313578514750576e53492f755331526b554f2b413043727964637a4a4f4d35
Kungshamra 71 / 1301,19,4 148,10,113,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=76396f4d757a7649735a7a3452336134694c7857474e5476735032687a765269
Kungshamra 81 / 1204,23,4 598,15,650,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4b374e4b6157323954705968594249413377637850506f67716773366f676c71
Kungshamra 83 / 1106,23,4 536,10,650,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6865442f6d306738556b4379684556583449762b6864336c384c71496f657955
Professorsslingan 10 / 1213,25,5 275,12,637,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=506870544c466e556a47744b76336e7745374b6a4c586166767435626a327672
